Nacimiento;Sexo;Residencia;Estrato;Frecuencia_compra;Sitio_compra;Base_compra;Impulso_compra;Combine_nueva;Info_etiqueta;Import_marquilla;Impacto_textil;Cal_impacto;Recurso_imp;Disposición_ropa;Uso_ropasegunda;Origen_compra
9/02/1988;Masculino;Medellín;4;De 3 a cuatro veces por año.;Tiendas por departamentos o almacenes de cadena.;El comercio justo.;La compro por su utilidad.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Agua.;La tiro a la basura.;Si.;Nacional - Local.
10/02/1988;Femenino;Bello;2;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas de autor o marcas locales de diseño., Tiendas por departamentos o almacenes de cadena.;Calidad., Referenciador, fashionista  o Blogger., Los precios bajos.;La compro por deseo.;No.;No.;;El crecimiento económico de los países.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
14/02/1988;Femenino;Sabaneta;4;Una vez por mes.;Tiendas en centros comerciales.;Apariencia estética., Utilidad., Calidad., Los precios bajos.;La compro por deseo.;Si.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Medios;Aire.;La regalo o dono a alguien.;Si.;Importada.
16/02/1988;Masculino;Medellín;6;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Internet.;Apariencia estética., Utilidad., El comercio justo., Materiales ecológicos., Los precios bajos.;La compro por su utilidad.;Si.;Si.;Lugar de fabricación., Empresa fabricante.;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Medios;Agua.;La transformo en otra prenda u objeto..;Si.;Nacional - Local.
19/02/1988;Masculino;Medellín;3;De 3 a cuatro veces por año.;Todas las anteriores ;Utilidad.;La compro por su utilidad.;Si.;Si.;Materiales.;Contaminación de aguas y suelos.;Medios;Agua.;La transformo en otra prenda u objeto..;Si.;Nacional - Local.
17/03/1988;Femenino;Medellín;5;Dos veces al año.;Internet., Cuando encuentro algo que me.sirva;Utilidad., Calidad., Los precios bajos.;La compro por su utilidad.;No.;No.;;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Humano.;La regalo o dono a alguien.;Si.;Nacional - Local.
19/03/1988;Femenino;Medellín;3;Una vez por mes.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena., Internet.;Apariencia estética., Utilidad., Calidad., La marca o el almacén de compra.;La compro por su utilidad.;Si.;No.;;Acumulación de residuos.;Medios;Agua.;La regalo o dono a alguien.;No.;Nacional - Local.
1/04/1988;Femenino;Itagüí;2;De 3 a cuatro veces por año.;Tiendas en centros comerciales., Tiendas por departamentos o almacenes de cadena.;Las tendencias o conceptos de moda., La marca o el almacén de compra.;La compro por deseo.;No.;Si.;Empresa fabricante.;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Medios;Aire.;La regalo o dono a alguien.;Si.;Nacional - Local.
2/04/1988;Femenino;Itagüí;3;De 3 a cuatro veces por año.;Tiendas en centros comerciales.;Apariencia estética.;La compro por deseo.;Si.;No.;;Contaminación de aguas y suelos.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
23/04/1988;Femenino;Medellín;3;Una vez por mes.;Tiendas en centros comerciales.;Utilidad., Las tendencias o conceptos de moda.;La compro por deseo.;Si.;No.;;El crecimiento económico de los países.;Altos;Aire.;La regalo o dono a alguien.;Si.;Importada.
27/04/1988;Femenino;Medellín;5;De 3 a cuatro veces por año.;Tiendas en centros comerciales.;Apariencia estética., Utilidad., Calidad., El comercio justo., Materiales ecológicos.;La compro por su utilidad.;Si.;No.;;Oportunidad de empleos.;Altos;Agua.;La regalo o dono a alguien.;Si.;Nacional - Local.
8/05/1988;Femenino;Medellín;3;Una vez por mes.;Tiendas en centros comerciales.;Apariencia estética.;La compro por deseo.;Si.;Si.;Materiales.;Empleos no correctamente remunerados, jornadas laborales extendidas, puestos inadecuados de trabajo.;Altos;Humano.;La regalo o dono a alguien.;No.;Nacional - Local.
14/05/1988;Femenino;Medellín;3;Una vez por mes.;Tiendas en centros comerciales.;La marca o el almacén de compra.;La compro por deseo.;Si.;Si.;Materiales.;Oportunidad de empleos.;Bajos;Humano.;La regalo o dono a alguien.;No.;Importada.
